      	         grab_single	11/11/2015 09:58:51:920000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:51:930000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:51:930000	Image (timestamp img_nr 74129201) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:51:930000	Leaving grab_single
      	                main	11/11/2015 09:58:51:930000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:51:930000	Image inverted
      	         grab_single	11/11/2015 09:58:51:930000	Entering grab_single
      	         grab_single	11/11/2015 09:58:51:930000	Start aquire
      	         grab_single	11/11/2015 09:58:51:930000	Started capturing frames
      	         grab_single	11/11/2015 09:58:51:930000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:51:930000	Image retrived
      	         grab_single	11/11/2015 09:58:51:930000	Checking DMA length
      	         grab_single	11/11/2015 09:58:51:930000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:51:930000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:51:930000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:51:930000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:51:930000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:51:930000	Getting actual image size
      	         grab_single	11/11/2015 09:58:51:930000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:51:930000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:51:930000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:51:940000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:51:940000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:51:940000	Image (timestamp img_nr 36331554) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:51:940000	Leaving grab_single
      	                main	11/11/2015 09:58:51:940000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:51:950000	Image inverted
      	         grab_single	11/11/2015 09:58:51:950000	Entering grab_single
      	         grab_single	11/11/2015 09:58:51:950000	Start aquire
      	         grab_single	11/11/2015 09:58:51:950000	Started capturing frames
      	         grab_single	11/11/2015 09:58:51:950000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:51:950000	Image retrived
      	         grab_single	11/11/2015 09:58:51:950000	Checking DMA length
      	         grab_single	11/11/2015 09:58:51:950000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:51:950000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:51:950000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:51:950000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:51:950000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:51:950000	Getting actual image size
      	         grab_single	11/11/2015 09:58:51:950000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:51:950000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:51:950000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:51:950000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:51:960000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:51:960000	Image (timestamp img_nr 77627100) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:51:960000	Leaving grab_single
      	                main	11/11/2015 09:58:51:960000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:51:960000	Image inverted
      	         grab_single	11/11/2015 09:58:51:960000	Entering grab_single
      	         grab_single	11/11/2015 09:58:51:960000	Start aquire
      	         grab_single	11/11/2015 09:58:51:960000	Started capturing frames
      	         grab_single	11/11/2015 09:58:51:960000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:51:960000	Image retrived
      	         grab_single	11/11/2015 09:58:51:960000	Checking DMA length
      	         grab_single	11/11/2015 09:58:52:960000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:52:960000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:52:960000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:52:960000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:52:960000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:52:960000	Getting actual image size
      	         grab_single	11/11/2015 09:58:52:960000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:52:960000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:52:960000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:52:960000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:52:970000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:52:970000	Image (timestamp img_nr 13587407) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:52:970000	Leaving grab_single
      	                main	11/11/2015 09:58:52:970000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:52:980000	Image inverted
      	         grab_single	11/11/2015 09:58:52:980000	Entering grab_single
      	         grab_single	11/11/2015 09:58:52:980000	Start aquire
      	         grab_single	11/11/2015 09:58:52:980000	Started capturing frames
      	         grab_single	11/11/2015 09:58:52:980000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:52:980000	Image retrived
      	         grab_single	11/11/2015 09:58:52:980000	Checking DMA length
      	         grab_single	11/11/2015 09:58:52:980000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:52:980000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:52:980000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:52:980000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:52:980000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:52:980000	Getting actual image size
      	         grab_single	11/11/2015 09:58:52:980000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:52:980000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:52:980000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:52:980000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:52:980000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:52:980000	Image (timestamp img_nr 58152895) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:52:980000	Leaving grab_single
      	                main	11/11/2015 09:58:52:980000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:52:990000	Image inverted
      	         grab_single	11/11/2015 09:58:52:990000	Entering grab_single
      	         grab_single	11/11/2015 09:58:52:990000	Start aquire
      	         grab_single	11/11/2015 09:58:52:990000	Started capturing frames
      	         grab_single	11/11/2015 09:58:52:990000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:52:990000	Image retrived
      	         grab_single	11/11/2015 09:58:52:990000	Checking DMA length
      	         grab_single	11/11/2015 09:58:52:990000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:52:990000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:52:990000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:52:990000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:52:990000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:52:990000	Getting actual image size
      	         grab_single	11/11/2015 09:58:52:990000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:52:990000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:52:990000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:52:990000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:52:990000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:52:990000	Image (timestamp img_nr 23600368) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:52:990000	Leaving grab_single
      	                main	11/11/2015 09:58:52:990000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:52:000000	Image inverted
      	         grab_single	11/11/2015 09:58:52:000000	Entering grab_single
      	         grab_single	11/11/2015 09:58:52:000000	Start aquire
      	         grab_single	11/11/2015 09:58:52:000000	Started capturing frames
      	         grab_single	11/11/2015 09:58:52:000000	Waiting for image (10 miliseconds)
      	         grab_single	11/11/2015 09:58:52:000000	Image retrived
      	         grab_single	11/11/2015 09:58:52:000000	Checking DMA length
      	         grab_single	11/11/2015 09:58:52:000000	DMA length is OK.
      	         grab_single	11/11/2015 09:58:52:000000	Getting frame buffer address
      	         grab_single	11/11/2015 09:58:52:000000	Frame buffer address was successfully retrieved
      	         grab_single	11/11/2015 09:58:52:000000	Stopping frame aquisition
      	         grab_single	11/11/2015 09:58:52:000000	Stopped frame aquisition
      	         grab_single	11/11/2015 09:58:52:000000	Getting actual image size
      	         grab_single	11/11/2015 09:58:52:000000	Got frame size (2560x2160) from grabber.
      	         grab_single	11/11/2015 09:58:52:000000	Allocatting 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:52:000000	Allocated 2560x2160x2 bytes buffer for image.
      	         grab_single	11/11/2015 09:58:52:000000	Extracting image from grabber into buffer (Unverifiable)
      	         grab_single	11/11/2015 09:58:52:000000	Retrieving timestamp from frame (Unverifiable)
      	         grab_single	11/11/2015 09:58:52:000000	Image (timestamp img_nr 71248580) successfully extracted from frame grabber

      	         grab_single	11/11/2015 09:58:52:000000	Leaving grab_single
      	                main	11/11/2015 09:58:52:000000	Grabbed new frame successfully
      	                main	11/11/2015 09:58:52:000000	Image inverted
